Gamma,order,solvable,l_gap,lambda1,lambda1_vs_order,p1,m_at_p1,barrier,gap_vs_p1
Z2,2,True,2,8,8>2,4,5,False,gap<p1
Z3,3,True,2,8,8>3,6,3,False,gap<p1
Z4,4,True,2,8,8>4,8,5,False,gap<p1
Z5,5,True,2,8,8>5,10,3,False,gap<p1
Z6,6,True,2,8,8>6,12,5,False,gap<p1
Z7,7,True,2,8,8>7,14,3,False,gap<p1
Z8,8,True,2,8,8=8,16,5,False,gap<p1
Z9,9,True,2,8,8<9,18,3,False,gap<p1
Z10,10,True,2,8,8<10,20,5,False,gap<p1
Z11,11,True,2,8,8<11,22,3,False,gap<p1
Z12,12,True,2,8,8<12,24,5,False,gap<p1
Z13,13,True,2,8,8<13,26,3,False,gap<p1
Z14,14,True,2,8,8<14,28,5,False,gap<p1
Z15,15,True,2,8,8<15,30,3,False,gap<p1
Z16,16,True,2,8,8<16,32,5,False,gap<p1
Z17,17,True,2,8,8<17,34,3,False,gap<p1
Z18,18,True,2,8,8<18,36,5,False,gap<p1
Z19,19,True,2,8,8<19,38,3,False,gap<p1
Z20,20,True,2,8,8<20,40,5,False,gap<p1
Z21,21,True,2,8,8<21,42,3,False,gap<p1
Z22,22,True,2,8,8<22,44,5,False,gap<p1
Z23,23,True,2,8,8<23,46,3,False,gap<p1
Z24,24,True,2,8,8<24,48,5,False,gap<p1
Z25,25,True,2,8,8<25,50,3,False,gap<p1
Z26,26,True,2,8,8<26,52,5,False,gap<p1
Z27,27,True,2,8,8<27,54,3,False,gap<p1
Z28,28,True,2,8,8<28,56,5,False,gap<p1
Z29,29,True,2,8,8<29,58,3,False,gap<p1
Z30,30,True,2,8,8<30,60,5,False,gap<p1
Z31,31,True,2,8,8<31,62,3,False,gap<p1
Z32,32,True,2,8,8<32,64,5,False,gap<p1
Z33,33,True,2,8,8<33,66,3,False,gap<p1
Z34,34,True,2,8,8<34,68,5,False,gap<p1
Z35,35,True,2,8,8<35,70,3,False,gap<p1
Z36,36,True,2,8,8<36,72,5,False,gap<p1
Z37,37,True,2,8,8<37,74,3,False,gap<p1
Z38,38,True,2,8,8<38,76,5,False,gap<p1
Z39,39,True,2,8,8<39,78,3,False,gap<p1
Z40,40,True,2,8,8<40,80,5,False,gap<p1
Z41,41,True,2,8,8<41,82,3,False,gap<p1
Z42,42,True,2,8,8<42,84,5,False,gap<p1
Z43,43,True,2,8,8<43,86,3,False,gap<p1
Z44,44,True,2,8,8<44,88,5,False,gap<p1
Z45,45,True,2,8,8<45,90,3,False,gap<p1
Z46,46,True,2,8,8<46,92,5,False,gap<p1
Z47,47,True,2,8,8<47,94,3,False,gap<p1
Z48,48,True,2,8,8<48,96,5,False,gap<p1
Z49,49,True,2,8,8<49,98,3,False,gap<p1
Z50,50,True,2,8,8<50,100,5,False,gap<p1
Z51,51,True,2,8,8<51,102,3,False,gap<p1
Z52,52,True,2,8,8<52,104,5,False,gap<p1
Z53,53,True,2,8,8<53,106,3,False,gap<p1
Z54,54,True,2,8,8<54,108,5,False,gap<p1
Z55,55,True,2,8,8<55,110,3,False,gap<p1
Z56,56,True,2,8,8<56,112,5,False,gap<p1
Z57,57,True,2,8,8<57,114,3,False,gap<p1
Z58,58,True,2,8,8<58,116,5,False,gap<p1
Z59,59,True,2,8,8<59,118,3,False,gap<p1
Z60,60,True,2,8,8<60,120,5,False,gap<p1
2D2,8,True,4,24,24>8,4,2,False,gap==p1
2D3,12,True,4,24,24>12,6,1,False,gap<p1
2D4,16,True,4,24,24>16,8,2,False,gap<p1
2D5,20,True,4,24,24>20,10,1,False,gap<p1
2D6,24,True,4,24,24=24,12,2,False,gap<p1
2D7,28,True,4,24,24<28,14,1,False,gap<p1
2D8,32,True,4,24,24<32,16,2,False,gap<p1
2D9,36,True,4,24,24<36,18,1,False,gap<p1
2D10,40,True,4,24,24<40,20,2,False,gap<p1
2D11,44,True,4,24,24<44,22,1,False,gap<p1
2D12,48,True,4,24,24<48,24,2,False,gap<p1
2D13,52,True,4,24,24<52,26,1,False,gap<p1
2D14,56,True,4,24,24<56,28,2,False,gap<p1
2D15,60,True,4,24,24<60,30,1,False,gap<p1
2D16,64,True,4,24,24<64,32,2,False,gap<p1
2D17,68,True,4,24,24<68,34,1,False,gap<p1
2D18,72,True,4,24,24<72,36,2,False,gap<p1
2D19,76,True,4,24,24<76,38,1,False,gap<p1
2D20,80,True,4,24,24<80,40,2,False,gap<p1
2D21,84,True,4,24,24<84,42,1,False,gap<p1
2D22,88,True,4,24,24<88,44,2,False,gap<p1
2D23,92,True,4,24,24<92,46,1,False,gap<p1
2D24,96,True,4,24,24<96,48,2,False,gap<p1
2D25,100,True,4,24,24<100,50,1,False,gap<p1
2D26,104,True,4,24,24<104,52,2,False,gap<p1
2D27,108,True,4,24,24<108,54,1,False,gap<p1
2D28,112,True,4,24,24<112,56,2,False,gap<p1
2D29,116,True,4,24,24<116,58,1,False,gap<p1
2D30,120,True,4,24,24<120,60,2,False,gap<p1
2T,24,True,6,48,48>24,6,1,False,gap==p1
2O,48,True,8,80,80>48,8,1,False,gap==p1
2I,120,False,12,168,168>120,10,0,True,gap>p1
