l,lambda,m_char,m_molien,m_exact,Gen,Vtx,Face,Edge
0,0,1,1,1,1/60,2/5,1/3,1/4
1,3,0,0,0,0,0,0,0
2,8,0,0,0,1/20,1/5,0,-1/4
3,15,0,0,0,0,0,0,0
4,24,0,0,0,1/12,0,-1/3,1/4
5,35,0,0,0,0,0,0,0
6,48,0,0,0,7/60,-1/5,1/3,-1/4
7,63,0,0,0,0,0,0,0
8,80,0,0,0,3/20,-2/5,0,1/4
9,99,0,0,0,0,0,0,0
10,120,0,0,0,11/60,2/5,-1/3,-1/4
11,143,0,0,0,0,0,0,0
12,168,1,1,1,13/60,1/5,1/3,1/4
13,195,0,0,0,0,0,0,0
14,224,0,0,0,1/4,0,0,-1/4
15,255,0,0,0,0,0,0,0
16,288,0,0,0,17/60,-1/5,-1/3,1/4
17,323,0,0,0,0,0,0,0
18,360,0,0,0,19/60,-2/5,1/3,-1/4
19,399,0,0,0,0,0,0,0
20,440,1,1,1,7/20,2/5,0,1/4
21,483,0,0,0,0,0,0,0
22,528,0,0,0,23/60,1/5,-1/3,-1/4
23,575,0,0,0,0,0,0,0
24,624,1,1,1,5/12,0,1/3,1/4
25,675,0,0,0,0,0,0,0
26,728,0,0,0,9/20,-1/5,0,-1/4
27,783,0,0,0,0,0,0,0
28,840,0,0,0,29/60,-2/5,-1/3,1/4
29,899,0,0,0,0,0,0,0
30,960,1,1,1,31/60,2/5,1/3,-1/4
31,1023,0,0,0,0,0,0,0
32,1088,1,1,1,11/20,1/5,0,1/4
33,1155,0,0,0,0,0,0,0
34,1224,0,0,0,7/12,0,-1/3,-1/4
35,1295,0,0,0,0,0,0,0
36,1368,1,1,1,37/60,-1/5,1/3,1/4
37,1443,0,0,0,0,0,0,0
38,1520,0,0,0,13/20,-2/5,0,-1/4
39,1599,0,0,0,0,0,0,0
40,1680,1,1,1,41/60,2/5,-1/3,1/4
41,1763,0,0,0,0,0,0,0
42,1848,1,1,1,43/60,1/5,1/3,-1/4
43,1935,0,0,0,0,0,0,0
44,2024,1,1,1,3/4,0,0,1/4
45,2115,0,0,0,0,0,0,0
46,2208,0,0,0,47/60,-1/5,-1/3,-1/4
47,2303,0,0,0,0,0,0,0
48,2400,1,1,1,49/60,-2/5,1/3,1/4
49,2499,0,0,0,0,0,0,0
50,2600,1,1,1,17/20,2/5,0,-1/4
51,2703,0,0,0,0,0,0,0
52,2808,1,1,1,53/60,1/5,-1/3,1/4
53,2915,0,0,0,0,0,0,0
54,3024,1,1,1,11/12,0,1/3,-1/4
55,3135,0,0,0,0,0,0,0
56,3248,1,1,1,19/20,-1/5,0,1/4
57,3363,0,0,0,0,0,0,0
58,3480,0,0,0,59/60,-2/5,-1/3,-1/4
59,3599,0,0,0,0,0,0,0
60,3720,2,2,2,61/60,2/5,1/3,1/4
61,3843,0,0,0,0,0,0,0
62,3968,1,1,1,21/20,1/5,0,-1/4
63,4095,0,0,0,0,0,0,0
64,4224,1,1,1,13/12,0,-1/3,1/4
65,4355,0,0,0,0,0,0,0
66,4488,1,1,1,67/60,-1/5,1/3,-1/4
67,4623,0,0,0,0,0,0,0
68,4760,1,1,1,23/20,-2/5,0,1/4
69,4899,0,0,0,0,0,0,0
70,5040,1,1,1,71/60,2/5,-1/3,-1/4
71,5183,0,0,0,0,0,0,0
72,5328,2,2,2,73/60,1/5,1/3,1/4
73,5475,0,0,0,0,0,0,0
74,5624,1,1,1,5/4,0,0,-1/4
75,5775,0,0,0,0,0,0,0
76,5928,1,1,1,77/60,-1/5,-1/3,1/4
77,6083,0,0,0,0,0,0,0
78,6240,1,1,1,79/60,-2/5,1/3,-1/4
79,6399,0,0,0,0,0,0,0
80,6560,2,2,2,27/20,2/5,0,1/4
81,6723,0,0,0,0,0,0,0
82,6888,1,1,1,83/60,1/5,-1/3,-1/4
83,7055,0,0,0,0,0,0,0
84,7224,2,2,2,17/12,0,1/3,1/4
85,7395,0,0,0,0,0,0,0
86,7568,1,1,1,29/20,-1/5,0,-1/4
87,7743,0,0,0,0,0,0,0
88,7920,1,1,1,89/60,-2/5,-1/3,1/4
89,8099,0,0,0,0,0,0,0
90,8280,2,2,2,91/60,2/5,1/3,-1/4
91,8463,0,0,0,0,0,0,0
92,8648,2,2,2,31/20,1/5,0,1/4
93,8835,0,0,0,0,0,0,0
94,9024,1,1,1,19/12,0,-1/3,-1/4
95,9215,0,0,0,0,0,0,0
96,9408,2,2,2,97/60,-1/5,1/3,1/4
97,9603,0,0,0,0,0,0,0
98,9800,1,1,1,33/20,-2/5,0,-1/4
99,9999,0,0,0,0,0,0,0
100,10200,2,2,2,101/60,2/5,-1/3,1/4
101,10403,0,0,0,0,0,0,0
102,10608,2,2,2,103/60,1/5,1/3,-1/4
103,10815,0,0,0,0,0,0,0
104,11024,2,2,2,7/4,0,0,1/4
105,11235,0,0,0,0,0,0,0
106,11448,1,1,1,107/60,-1/5,-1/3,-1/4
107,11663,0,0,0,0,0,0,0
108,11880,2,2,2,109/60,-2/5,1/3,1/4
109,12099,0,0,0,0,0,0,0
110,12320,2,2,2,37/20,2/5,0,-1/4
111,12543,0,0,0,0,0,0,0
112,12768,2,2,2,113/60,1/5,-1/3,1/4
113,12995,0,0,0,0,0,0,0
114,13224,2,2,2,23/12,0,1/3,-1/4
115,13455,0,0,0,0,0,0,0
116,13688,2,2,2,39/20,-1/5,0,1/4
117,13923,0,0,0,0,0,0,0
118,14160,1,1,1,119/60,-2/5,-1/3,-1/4
119,14399,0,0,0,0,0,0,0
120,14640,3,3,3,121/60,2/5,1/3,1/4
