cell/item,expect,outcome,deviation
cell g=1 eps=+1,E-1/E-2,dim=1 invertible=True verified=True,"(Cog)^2 +place=diag(-1,-1,-1,-1) -place=diag(-1,-1,-1,-1) [scalar]"
cell g=1 eps=-1,E-1/E-2,dim=1 invertible=True verified=True,"(Cog)^2 +place=diag(-1,-1,-1,-1) -place=diag(-1,-1,-1,-1) [scalar]"
cell g=tau eps=+1,E-1/E-2,dim=1 invertible=True verified=True,"(Cog)^2 +place=diag(5,1,5,1) -place=diag(5,1,5,1) [NON-scalar sqrt5-graded]"
cell g=tau eps=-1,E-1/E-2,dim=1 invertible=True verified=True,"(Cog)^2 +place=diag(-5,-1,-5,-1) -place=diag(-5,-1,-5,-1) [NON-scalar sqrt5-graded]"
cell g=sigma eps=+1,E-1/E-2,dim=0 invertible=None verified=None,
cell g=sigma eps=-1,E-1/E-2,dim=0 invertible=None verified=None,
cell g=sigmatau eps=+1,E-1/E-2,dim=0 invertible=None verified=None,
cell g=sigmatau eps=-1,E-1/E-2,dim=0 invertible=None verified=None,
E-2 square invariants,report actual value + sign pattern at both places,"PASS — linear (g=1) cell: C^2 = diag(-1,-1,-1,-1) [scalar -I], same at both places — standard; tau cell: (C.tau)^2 = diag(5,1,5,1) at both places (eps=+; eps=- negates it) — NON-scalar, sqrt5-graded (ratio 5:1:5:1), place-DEFINITE. The non-scalarity is the clique's sqrt5-normalisation (Gamma^2=+-sqrt5, not +-1), the 4d echo of A8; overall scale is convention, the 5:1 ratio and sign are invariant",
E-EXPECT tau-type nonempty,tau nonempty in >=1 sign,"PASS — tau cells: eps+ dim=1, eps- dim=1 — nonempty (standard mechanism present)",
E sigma-type cells (OPEN),OPEN,"OPEN — sigma cells: eps+ dim=0, eps- dim=0 — EMPTY: the 4d form of 'sigma needs the compensator' (C_phys carries the coordinate/reflection factor, absent from the pure matrix frontier)",
E sigmatau-type cells (OPEN),OPEN,"OPEN — sigmatau cells: eps+ dim=0, eps- dim=0 — EMPTY",
E linear-type cells (context),context,"PASS — linear (g=1) cells: eps+ dim=1, eps- dim=1",
E-3 tau interlock with B1.6-4,tau-cell is the 4d generalisation of B1.6-4 tau-family,"PASS — the nonempty tau cell(s) (dims {1: 1, -1: 1}) are the 4d (1,3)-clique generalisation of B1.6-4's tau-borne family (dim 2 in the 1+1 toy); the standard C-mechanism lives here",
